time,Fire Model,Experiment,ESM,Source,BA_area_pred
1893-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,525.0129396184101
1894-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,546.790815148071
1895-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,526.5823727412452
1896-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,565.4744244087047
1897-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,491.32588692832775
1898-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,547.5658581833383
1899-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,585.410313736572
1900-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,574.8492741743031
1901-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,568.3587327199631
1902-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,509.20837229879095
1903-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,505.6527562987185
1904-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,593.4648243938456
1905-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,558.8421158782392
1906-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,538.633643310757
1907-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,529.901712516005
1908-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,533.1100053565077
1909-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,534.6162351789169
1910-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,537.2947263980508
1911-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,561.0011243818554
